# start_epoch_ms=1772062021040 interval_s=0.5 source=/proc/stat
ts_epoch_ms,cpu_total_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,load1,load5,load15,procs_running,procs_total
1772062057065,16.751788,8.273749,8.478039,0.000000,83.248212,2.43,2.4,1.86,2,2697
1772062057565,17.466803,8.580184,8.886619,0.000000,82.533197,2.43,2.4,1.86,4,2708
1772062058065,16.393443,8.606557,7.786885,0.000000,83.606557,2.43,2.4,1.86,8,2706
1772062058566,16.000000,7.794872,8.205128,0.000000,84.000000,2.43,2.4,1.86,3,2706
1772062059066,15.724563,7.913669,7.810894,0.000000,84.275437,2.43,2.4,1.86,2,2696
1772062059566,17.139959,8.519270,8.620690,0.000000,82.860041,2.43,2.4,1.86,6,2707
1772062060067,16.411825,8.256881,8.154944,0.000000,83.588175,2.43,2.4,1.86,3,2698
1772062060567,17.122594,8.409321,8.713273,0.000000,82.877406,2.43,2.4,1.86,4,2707
1772062061067,17.139959,8.417850,8.722110,0.000000,82.860041,2.43,2.4,1.86,11,2707
1772062061568,16.649642,8.580184,8.069459,0.204290,83.146067,2.43,2.4,1.86,4,2707
1772062062068,17.255298,8.779011,8.476287,0.000000,82.744702,2.88,2.49,1.89,2,2697
1772062062568,18.358974,9.128205,9.230769,0.000000,81.641026,2.88,2.49,1.89,11,2706
1772062063069,16.820513,8.615385,8.205128,0.000000,83.179487,2.88,2.49,1.89,7,2696
1772062063569,18.302658,10.020450,8.282209,0.000000,81.697342,2.88,2.49,1.89,2,2703
1772062064069,16.274309,8.188332,8.085977,0.000000,83.725691,2.88,2.49,1.89,3,2703
1772062064570,16.649642,8.580184,8.069459,0.000000,83.350358,2.88,2.49,1.89,11,2703
1772062065070,17.107943,8.553971,8.553971,0.000000,82.892057,2.88,2.49,1.89,5,2694
1772062065570,17.090539,8.443540,8.646999,0.000000,82.909461,2.88,2.49,1.89,2,2704
1772062066070,17.157360,8.426396,8.730964,0.000000,82.842640,2.88,2.49,1.89,7,2696
1772062066571,17.617108,8.350305,9.266802,0.203666,82.179226,2.88,2.49,1.89,6,2705
1772062067071,16.820513,8.615385,8.205128,0.000000,83.179487,3.13,2.55,1.91,5,2705
1772062067571,17.444219,8.519270,8.924949,0.000000,82.555781,3.13,2.55,1.91,3,2707
1772062068072,17.040816,8.469388,8.571429,0.000000,82.959184,3.13,2.55,1.91,4,2695
1772062068572,16.819572,8.766565,8.053007,0.000000,83.180428,3.13,2.55,1.91,7,2706
1772062069072,16.937120,8.620690,8.316430,0.000000,83.062880,3.13,2.55,1.91,7,2696
1772062069573,17.055838,8.832487,8.223350,0.000000,82.944162,3.13,2.55,1.91,2,2705
1772062070073,16.565041,8.536585,8.028455,0.000000,83.434959,3.13,2.55,1.91,4,2705
1772062070573,16.036772,8.375894,7.660878,0.000000,83.963228,3.13,2.55,1.91,5,2704
1772062071074,16.919959,8.308004,8.611955,0.000000,83.080041,3.13,2.55,1.91,3,2693
1772062071574,16.700611,8.553971,8.146640,0.203666,83.095723,3.13,2.55,1.91,2,2703
1772062072074,15.708419,8.316222,7.392197,0.000000,84.291581,3.12,2.56,1.92,2,2694
1772062072575,17.043121,8.829569,8.213552,0.000000,82.956879,3.12,2.56,1.92,2,2734
1772062073075,17.301751,8.650875,8.650875,0.000000,82.698249,3.12,2.56,1.92,7,2705
1772062073575,17.448980,8.571429,8.877551,0.000000,82.551020,3.12,2.56,1.92,2,2707
1772062074076,16.768916,8.588957,8.179959,0.000000,83.231084,3.12,2.56,1.92,10,2698
1772062074576,16.836735,8.571429,8.265306,0.000000,83.163265,3.12,2.56,1.92,4,2706
1772062075076,17.262513,9.193054,8.069459,0.000000,82.737487,3.12,2.56,1.92,2,2696
1772062075577,16.836735,8.163265,8.673469,0.000000,83.163265,3.12,2.56,1.92,3,2706
1772062076077,17.408907,8.704453,8.704453,0.000000,82.591093,3.12,2.56,1.92,3,2706
1772062076577,17.075665,8.793456,8.282209,0.000000,82.924335,3.12,2.56,1.92,3,2706
1772062077078,16.512821,8.410256,8.102564,0.000000,83.487179,2.95,2.53,1.91,2,2696
1772062077578,17.192269,8.240081,8.952187,0.000000,82.807731,2.95,2.53,1.91,11,2705
1772062078078,17.593529,8.695652,8.897877,0.000000,82.406471,2.95,2.53,1.91,3,2695
1772062078579,16.188525,8.504098,7.684426,0.000000,83.811475,2.95,2.53,1.91,5,2706
1772062079079,16.616008,8.510638,8.105370,0.000000,83.383992,2.95,2.53,1.91,5,2706
1772062079579,15.913758,8.110883,7.802875,0.000000,84.086242,2.95,2.53,1.91,4,2706
1772062080080,16.581892,8.341811,8.240081,0.000000,83.418108,2.95,2.53,1.91,2,2697
1772062080580,16.393443,8.504098,7.889344,0.000000,83.606557,2.95,2.53,1.91,2,2707
